State,Top10,11-25,26-50,Exit
Top10,0.926923076923077,0.06153846153846154,0.0038461538461538464,0.007692307692307693
11-25,0.038461538461538464,0.8666666666666667,0.09230769230769231,0.002564102564102564
26-50,0.0,0.052307692307692305,0.8461538461538461,0.10153846153846154
Exit,0.0,0.0,0.0,1.0
