Genre,Mean_Survival,Median_Survival,Spell_Count,Rank_Variance,Rank_Mean,Observations
Hindi Indie,25.40740740740741,17.0,27,227.21779276882816,21.456268221574344,686
Hindi Film,20.29032258064516,8.0,62,174.62975034560048,26.170111287758345,1258
Punjabi-Haryanvi Pop,11.46875,5.0,32,226.01547028781573,27.904632152588555,367
South Indian Film,11.416666666666666,5.5,12,195.35465865178188,31.51094890510949,137
International Pop/K-Pop,2.75,1.0,8,155.18831168831164,35.95454545454545,22
Devotional/Spiritual,1.0,1.0,6,121.06666666666665,34.333333333333336,6
