Model,LogLikelihood,AIC,Parameters
Geometric,-154.01364975812984,310.0272995162597,p=0.2679
Exponential,-164.5105463750884,331.0210927501768,scale=3.7324
Weibull,-164.47856788727944,332.9571357745589,"shape=0.9793, scale=3.6907"
