Date,Rank,Song,Artist,Song_Key,Genre,Date_Index,State,New_Spell,Spell_Number,Days_On_Chart,Total_Appearances,Artist_Past_Appearances,Prev_Rank,Delta_R,Volatility_So_Far,Rank_Velocity,Is_New_Entry,Next_Date,Next_Rank,Observed_Next_State,Next_State,Top10_Tomorrow,Exit_Tomorrow
2026-03-15,31,Ye Tune Kya Kiya,Pritam,pritam || ye tune kya kiya,Hindi Film,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,33.0,26-50,26-50,0,0
2026-03-15,32,Not Guilty,Dhanda Nyoliwala,dhanda nyoliwala || not guilty,Punjabi-Haryanvi Pop,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,32.0,26-50,26-50,0,0
2026-03-15,33,Zaalima,Arijit Singh,arijit singh || zaalima,Hindi Film,0,26-50,True,1,1,1,40,,,0.0,0.0,False,2026-03-16,37.0,26-50,26-50,0,0
2026-03-15,34,Darkhaast,Mithoon,mithoon || darkhaast,Hindi Film,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,31.0,26-50,26-50,0,0
2026-03-15,35,Tu Na Samjhe,Hellow Raja,hellow raja || tu na samjhe,Hindi Indie,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,50.0,26-50,26-50,0,0
2026-03-15,36,KALYANI,ARJN,arjn || kalyani,Hindi Indie,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,43.0,26-50,26-50,0,0
2026-03-15,37,Ehsaas,Faheem Abdullah,faheem abdullah || ehsaas,Hindi Indie,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,36.0,26-50,26-50,0,0
2026-03-15,38,Mast Magan,Arijit Singh,arijit singh || mast magan,Hindi Film,0,26-50,True,1,1,1,6,,,0.0,0.0,False,2026-03-16,38.0,26-50,26-50,0,0
2026-03-15,39,Lutt Le Gaya,Shashwat Sachdev,shashwat sachdev || lutt le gaya,Hindi Film,0,26-50,True,1,1,1,120,,,0.0,0.0,False,2026-03-16,39.0,26-50,26-50,0,0
2026-03-15,40,Barbaad,The Rish,the rish || barbaad,Hindi Indie,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,35.0,26-50,26-50,0,0
2026-03-15,41,Teri Deewani,Kailash Kher,kailash kher || teri deewani,Hindi Film,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,40.0,26-50,26-50,0,0
2026-03-15,42,Naal Nachna,Shashwat Sachdev,shashwat sachdev || naal nachna,Hindi Film,0,26-50,True,1,1,1,153,,,0.0,0.0,False,2026-03-16,34.0,26-50,26-50,0,0
2026-03-15,43,Humdard,Arijit Singh,arijit singh || humdard,Hindi Film,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,41.0,26-50,26-50,0,0
2026-03-15,44,Thodi Si Daaru,AP Dhillon,ap dhillon || thodi si daaru,Punjabi-Haryanvi Pop,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,42.0,26-50,26-50,0,0
2026-03-15,45,Ishq Jalakar - Karvaan,Shashwat Sachdev,shashwat sachdev || ishq jalakar - karvaan,Hindi Film,0,26-50,True,1,1,1,69,,,0.0,0.0,False,2026-03-16,44.0,26-50,26-50,0,0
2026-03-15,46,Kithe Reh Gaya,Neeti Mohan,neeti mohan || kithe reh gaya,Hindi Indie,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,46.0,26-50,26-50,0,0
2026-03-15,47,Mann Mera - Original Version,Gajendra Verma,gajendra verma || mann mera - original version,Hindi Indie,0,26-50,True,1,1,1,21,,,0.0,0.0,False,2026-03-16,45.0,26-50,26-50,0,0
2026-03-15,48,Jhol - Acoustic,Maanu,maanu || jhol - acoustic,Hindi Indie,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,,,Exit,0,1
2026-03-15,49,Dhun,Mithoon,mithoon || dhun,Hindi Film,0,26-50,True,1,1,1,21,,,0.0,0.0,False,2026-03-16,,,Exit,0,1
2026-03-15,50,High On You,Jind Universe,jind universe || high on you,Punjabi-Haryanvi Pop,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-16,49.0,26-50,26-50,0,0
2026-03-16,1,Bairan,Banjaare,banjaare || bairan,Hindi Indie,1,Top10,False,1,2,2,1,1.0,0.0,0.0,0.0,False,2026-03-17,1.0,Top10,Top10,1,0
2026-03-16,2,Sheesha - Aakhya Mai Aakh Ghali Jo Bairan,Mitta Ror,mitta ror || sheesha - aakhya mai aakh ghali jo bairan,Punjabi-Haryanvi Pop,1,Top10,False,1,2,2,2,2.0,0.0,0.0,0.0,False,2026-03-17,2.0,Top10,Top10,1,0
2026-03-16,3,Gehra Hua,Shashwat Sachdev,shashwat sachdev || gehra hua,Hindi Film,1,Top10,False,1,2,2,41,3.0,0.0,0.0,0.0,False,2026-03-17,3.0,Top10,Top10,1,0
2026-03-16,4,Dooron Dooron,Paresh Pahuja,paresh pahuja || dooron dooron,Hindi Indie,1,Top10,False,1,2,2,1,5.0,-1.0,0.0,-1.0,False,2026-03-17,4.0,Top10,Top10,1,0
2026-03-16,5,Khat,Navjot Ahuja,navjot ahuja || khat,Hindi Indie,1,Top10,False,1,2,2,1,6.0,-1.0,0.0,-1.0,False,2026-03-17,5.0,Top10,Top10,1,0
2026-03-16,6,Sahiba,Aditya Rikhari,aditya rikhari || sahiba,Hindi Indie,1,Top10,False,1,2,2,1,4.0,2.0,0.0,2.0,False,2026-03-17,6.0,Top10,Top10,1,0
2026-03-16,7,Samjhawan,Jawad Ahmad,jawad ahmad || samjhawan,Hindi Film,1,Top10,False,1,2,2,1,7.0,0.0,0.0,0.0,False,2026-03-17,7.0,Top10,Top10,1,0
2026-03-16,8,Sitaare,Arijit Singh,arijit singh || sitaare,Hindi Film,1,Top10,False,1,2,2,20,8.0,0.0,0.0,0.0,False,2026-03-17,8.0,Top10,Top10,1,0
2026-03-16,9,Apna Bana Le,Sachin-Jigar,sachin-jigar || apna bana le,Hindi Film,1,Top10,False,1,2,2,1,11.0,-2.0,0.0,-2.0,False,2026-03-17,10.0,Top10,Top10,1,0
2026-03-16,10,Finding Her,Kushagra,kushagra || finding her,Hindi Indie,1,Top10,False,1,2,2,1,10.0,0.0,0.0,0.0,False,2026-03-17,9.0,Top10,Top10,1,0
