Model,LogLikelihood,AIC,Parameters
Lognormal,-274.62679999230386,553.2535999846077,"shape=1.1133, scale=4.3009"
Pareto,-260.95480683267067,525.9096136653413,"shape=0.6855, scale=1.0000"
