Date,Rank,Song,Artist,Genre,Date_Index,State,New_Spell,Spell_Number,Days_On_Chart,Total_Appearances,Artist_Past_Appearances,Prev_Rank,Delta_R,Volatility_So_Far,Is_New_Entry,Next_Date,Next_Rank,Observed_Next_State,Next_State,Top10_Tomorrow,Exit_Tomorrow
2026-03-15,32,Not Guilty,Dhanda Nyoliwala,Punjabi-Haryanvi Pop,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,32.0,26-50,26-50,0,0
2026-03-15,33,Zaalima,"Arijit Singh, Harshdeep Kaur",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,37.0,26-50,26-50,0,0
2026-03-15,34,Darkhaast,"Mithoon, Arijit Singh, Sunidhi Chauhan, Sayeed Quadri",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,31.0,26-50,26-50,0,0
2026-03-15,35,Tu Na Samjhe,"Hellow Raja, MaxxTurnn",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,50.0,26-50,26-50,0,0
2026-03-15,36,KALYANI,"ARJN, KDS, FIFTY4, RONN",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,43.0,26-50,26-50,0,0
2026-03-15,37,Ehsaas,"Faheem Abdullah, Duha Shah, Vaibhav Pani, Hyder Dar",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,36.0,26-50,26-50,0,0
2026-03-15,38,"Mast Magan (From ""2 States)","Arijit Singh, Chinmayi",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,38.0,26-50,26-50,0,0
2026-03-15,39,Lutt Le Gaya,"Shashwat Sachdev, Simran Choudhary",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,39.0,26-50,26-50,0,0
2026-03-15,40,"Barbaad (From ""Saiyaara"")","The Rish, Jubin Nautiyal",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,35.0,26-50,26-50,0,0
2026-03-15,41,Teri Deewani,"Kailash Kher, Paresh Kamath, Naresh Kamath",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,40.0,26-50,26-50,0,0
2026-03-15,42,Naal Nachna,"Shashwat Sachdev, Afsana Khan, Irshad Kamil, Reble",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,34.0,26-50,26-50,0,0
2026-03-15,43,"Humdard (From ""Ek Villain"")",Arijit Singh,,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,41.0,26-50,26-50,0,0
2026-03-15,44,Thodi Si Daaru,"AP Dhillon, Shreya Ghoshal",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,42.0,26-50,26-50,0,0
2026-03-15,45,Ishq Jalakar - Karvaan,"Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,44.0,26-50,26-50,0,0
2026-03-15,46,Kithe Reh Gaya,"Neeti Mohan, Abhijit Vaghani",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,46.0,26-50,26-50,0,0
2026-03-15,47,Mann Mera - Original Version,Gajendra Verma,,0,26-50,True,1,1,1,8,,,0.0,False,2026-03-16,45.0,26-50,26-50,0,0
2026-03-15,48,Jhol - Acoustic,"Maanu, Annural Khalid, Abdullah Siddiqui",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,,,Exit,0,1
2026-03-15,49,"Dhun (From ""Saiyaara"")","Mithoon, Arijit Singh",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,,,Exit,0,1
2026-03-15,50,High On You,Jind Universe,,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,49.0,26-50,26-50,0,0
2026-03-16,1,Bairan,Banjaare,Hindi Indie,1,Top10,False,1,2,2,1,1.0,0.0,0.0,False,2026-03-17,1.0,Top10,Top10,1,0
2026-03-16,2,Sheesha - Aakhya Mai Aakh Ghali Jo Bairan,"Mitta Ror, Swara Verma",,1,Top10,False,1,2,2,1,2.0,0.0,0.0,False,2026-03-17,2.0,Top10,Top10,1,0
2026-03-16,3,Gehra Hua,"Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",,1,Top10,False,1,2,2,1,3.0,0.0,0.0,False,2026-03-17,3.0,Top10,Top10,1,0
2026-03-16,4,Dooron Dooron,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose",,1,Top10,False,1,2,2,1,5.0,-1.0,0.0,False,2026-03-17,4.0,Top10,Top10,1,0
2026-03-16,5,Khat,Navjot Ahuja,Hindi Indie,1,Top10,False,1,2,2,1,6.0,-1.0,0.0,False,2026-03-17,5.0,Top10,Top10,1,0
2026-03-16,6,Sahiba,Aditya Rikhari,Hindi Indie,1,Top10,False,1,2,2,1,4.0,2.0,0.0,False,2026-03-17,6.0,Top10,Top10,1,0
2026-03-16,7,Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",,1,Top10,False,1,2,2,1,7.0,0.0,0.0,False,2026-03-17,7.0,Top10,Top10,1,0
2026-03-16,8,"Sitaare (From ""Ikkis"")","Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",,1,Top10,False,1,2,2,1,8.0,0.0,0.0,False,2026-03-17,8.0,Top10,Top10,1,0
2026-03-16,9,Apna Bana Le,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",,1,Top10,False,1,2,2,1,11.0,-2.0,0.0,False,2026-03-17,10.0,Top10,Top10,1,0
2026-03-16,10,Finding Her,"Kushagra, Bharath, Saaheal",,1,Top10,False,1,2,2,1,10.0,0.0,0.0,False,2026-03-17,9.0,Top10,Top10,1,0
2026-03-16,11,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,Hindi Indie,1,11-25,False,1,2,2,1,12.0,-1.0,0.0,False,2026-03-17,11.0,11-25,11-25,0,0
2026-03-16,12,Shararat,"Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",,1,11-25,False,1,2,2,1,9.0,3.0,0.0,False,2026-03-17,12.0,11-25,11-25,0,0
2026-03-16,13,Bairi,"Virat, Pradeep Solanki, Heena",,1,11-25,False,1,2,2,1,13.0,0.0,0.0,False,2026-03-17,14.0,11-25,11-25,0,0
2026-03-16,14,Ishq,"Faheem Abdullah, Rauhan Malik, Amir Ameer",,1,11-25,False,1,2,2,1,14.0,0.0,0.0,False,2026-03-17,13.0,11-25,11-25,0,0
2026-03-16,15,For A Reason,"Karan Aujla, Ikky",,1,11-25,False,1,2,2,8,15.0,0.0,0.0,False,2026-03-17,15.0,11-25,11-25,0,0
2026-03-16,16,Boyfriend,"Karan Aujla, Ikky",,1,11-25,False,1,2,2,1,18.0,-2.0,0.0,False,2026-03-17,16.0,11-25,11-25,0,0
2026-03-16,17,Saiyaara,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil",,1,11-25,False,1,2,2,1,16.0,1.0,0.0,False,2026-03-17,18.0,11-25,11-25,0,0
2026-03-16,18,Mann Mera,Gajendra Verma,Hindi Indie,1,11-25,False,1,2,2,1,17.0,1.0,0.0,False,2026-03-17,17.0,11-25,11-25,0,0
2026-03-16,19,"Raanjhan (From ""Do Patti"")","Sachet-Parampara, Parampara Tandon, Kausar Munir",,1,11-25,False,1,2,2,1,20.0,-1.0,0.0,False,2026-03-17,21.0,11-25,11-25,0,0
2026-03-16,20,Ishqa Ve,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",,1,11-25,False,1,2,2,1,19.0,1.0,0.0,False,2026-03-17,19.0,11-25,11-25,0,0
2026-03-16,21,Tere Liye,"Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan",,1,11-25,False,1,2,2,1,21.0,0.0,0.0,False,2026-03-17,20.0,11-25,11-25,0,0
2026-03-16,22,"Pavazha Malli - From ""Think Indie""","Sai Abhyankkar, Shruti Haasan, Vivek",,1,11-25,False,1,2,2,1,26.0,-4.0,0.0,False,2026-03-17,22.0,11-25,11-25,0,0
2026-03-16,23,Dhurandhar - Title Track,"Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan",,1,11-25,False,1,2,2,1,22.0,1.0,0.0,False,2026-03-17,23.0,11-25,11-25,0,0
2026-03-16,24,Deewaana Deewaana,"A.R. Rahman, Irshad Kamil",,1,11-25,False,1,2,2,1,25.0,-1.0,0.0,False,2026-03-17,24.0,11-25,11-25,0,0
2026-03-16,25,Jo Tum Mere Ho,Anuv Jain,Hindi Indie,1,11-25,False,1,2,2,9,23.0,2.0,0.0,False,2026-03-17,25.0,11-25,11-25,0,0
2026-03-16,26,Tere Bina,"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",,1,26-50,False,1,2,2,1,24.0,2.0,0.0,False,2026-03-17,26.0,26-50,26-50,0,0
2026-03-16,27,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh",,1,26-50,False,1,2,2,1,28.0,-1.0,0.0,False,2026-03-17,27.0,26-50,26-50,0,0
2026-03-16,28,"Aaya Sher (From ""The Paradise"") (Telugu)","Anirudh Ravichander, Jangi Reddy, Arjun Chandy, Kasarla Shyam",,1,26-50,False,1,2,2,1,27.0,1.0,0.0,False,2026-03-17,29.0,26-50,26-50,0,0
2026-03-16,29,Haseen,"Talwiinder, NDS, Rippy Grewal",,1,26-50,False,1,2,2,1,29.0,0.0,0.0,False,2026-03-17,30.0,26-50,26-50,0,0
2026-03-16,30,"Tum Ho Toh (From ""Saiyaara"")","Vishal Mishra, Hansika Pareek, Raj Shekhar",,1,26-50,False,1,2,2,1,30.0,0.0,0.0,False,2026-03-17,28.0,26-50,26-50,0,0
2026-03-16,31,Darkhaast,"Mithoon, Arijit Singh, Sunidhi Chauhan, Sayeed Quadri",,1,26-50,False,1,2,2,1,34.0,-3.0,0.0,False,2026-03-17,31.0,26-50,26-50,0,0
2026-03-16,32,Not Guilty,Dhanda Nyoliwala,Punjabi-Haryanvi Pop,1,26-50,False,1,2,2,1,32.0,0.0,0.0,False,2026-03-17,32.0,26-50,26-50,0,0
2026-03-16,33,Ye Tune Kya Kiya,"Pritam, Javed Bashir, Rajat Arora",,1,26-50,False,1,2,2,1,31.0,2.0,0.0,False,2026-03-17,33.0,26-50,26-50,0,0
2026-03-16,34,Naal Nachna,"Shashwat Sachdev, Afsana Khan, Irshad Kamil, Reble",,1,26-50,False,1,2,2,1,42.0,-8.0,0.0,False,2026-03-17,35.0,26-50,26-50,0,0
